x,y,category
0.9374367628177704,0.1673409525083549,A
0.290243877472143,0.8214845102771363,A
0.7780858371648806,0.7966928405340933,A
0.8261683303742355,0.2228351488047321,B
0.9262977242858694,0.1586944602117487,B
0.4856468899691052,0.6838348794506709,B
0.7993204268495679,0.9579445372533834,C
0.2713058717687086,0.8086817965434248,C
0.4832421269583196,0.4136078236416918,C
0.7448319134624694,0.7058202267213485,D
0.5100896215607578,0.4111310073743275,D
0.7155773972453302,0.516370956113204,D
0.16960621737069037,0.8502837778851248,E
0.8658111737197967,0.08617990862832725,E
0.7856344213231647,0.8356912697049809,E
0.6288897203096704,0.5409905784481099,F
0.27963853538273575,0.11295638467617686,F
0.25241110794290345,0.149400345016646,F
0.6097809854268224,0.22865569789395457,G
0.7691344486041033,0.12405897014325884,G
0.9588442124414057,0.4088051335852132,G
0.626988872705507,0.3790489635537255,H
0.3815071566016073,0.5054004276192986,H
0.960269262729421,0.7540400492421041,H
0.6115119291905179,0.3342696908971774,I
0.20547411566486729,0.038277801355154684,I
0.9445479028263324,0.42887510433203413,I
