x,y,category
0.49305364268849483,0.3754768067043359,A
0.05625240466558479,0.9546948123481621,A
0.7166880860068084,0.5996806181050329,A
0.7931545251702994,0.465952415081043,B
0.7157400060988904,0.21581757068639507,B
0.7110812145039722,0.0688438314961044,B
0.37995507565465003,0.5326336049610466,C
0.06623317947408791,0.7123952707895631,C
0.5493550622059449,0.03174935408996471,C
0.16971361717768274,0.9625119905709283,D
0.5915228468677753,0.5807398510283158,D
0.7373115248307266,0.6379298371351523,D
0.5149666984995377,0.3938191691729941,E
0.3054542580615721,0.022248335552927934,E
0.5462157135156445,0.48373642941523054,E
0.17512469075784254,0.8680799805015866,F
0.18423575697350747,0.6279729179481367,F
0.925971829362279,0.684439249152201,F
