x,y,category
0.27957075477520654,0.28079369420524586,A
0.26726159996585636,0.7644935653234801,A
0.1717310430034959,0.08422512489399168,A
0.8595612397126356,0.6007724150751776,B
0.07006966727027293,0.07441735276567257,B
0.2098653428623342,0.35603926331913377,B
0.7623191806415542,0.2435997001018107,C
0.13811388204238517,0.4796877733765478,C
0.4312774354337298,0.43521951414089294,C
0.7433333113595807,0.7913827642419381,D
0.14369637758431295,0.6583251672974445,D
0.8319366375218255,0.6732439316316191,D
0.3580962461084732,0.1624266476842355,E
0.6996337012791813,0.2965963915971678,E
0.028183340931031538,0.6431422543232697,E
