x,y,category
0.6968855075674819,0.1640659087139026,A
0.058380428450750865,0.25626723287895725,A
0.35303696248590744,0.04185610430365316,A
0.28129328717815594,0.8464254637751799,B
0.11052004025348117,0.24354010134887627,B
0.6052093265326985,0.29521785183996385,B
0.6993499166764601,0.44175377927178117,C
0.5896220771885939,0.4175510735951703,C
0.8537846520213199,0.6923851473889768,C
0.7466261620606156,0.5908945737504667,D
0.8068513282830788,0.2220256748438586,D
0.834787561699473,0.5133924821247687,D
0.7031335341873904,0.6605940248254704,E
0.1961165255068612,0.9078172115643637,E
0.4575829531510216,0.5819659308789242,E
