x,y,category
0.51244337207184,0.6876239808095301,A
0.9388824665601991,0.6316997339778506,A
0.1566994670202773,0.24489580466057775,A
0.330643933089183,0.2781934075197327,B
0.7907349505308069,0.1413683116470141,B
0.19410216401084138,0.05596238891364891,B
0.5961212431603403,0.8990465977609154,C
0.5292183266585926,0.3024347743806126,C
0.3564400618902999,0.28626178648974293,C
0.6443042021398802,0.7812324330619765,D
0.11642146505332907,0.10911097479408469,D
0.9787878909051234,0.05880032129996848,D
0.3669212854918125,0.881118035800411,E
0.14123476056632484,0.31491230096339995,E
0.7360567229969952,0.18457045429221855,E
0.032527465421188284,0.3868361920687461,F
0.28837495619640147,0.744265446724162,F
0.18037701320264815,0.3118595929046634,F
