x,y,category
0.8480737655717075,0.3030226068284465,A
0.9837846251965109,0.6097015658252783,A
0.7592837925818554,0.5180529891699339,A
0.8080341080232086,0.8797087937371708,B
0.7041545335785041,0.6958621374842847,B
0.4294762337053961,0.5481938556755966,B
0.8422326183309407,0.9363457205683203,C
0.5293560749192865,0.8798616902128384,C
0.08106858688357876,0.21470506008032586,C
0.17110214299302184,0.8589845177748011,D
0.2859830770763997,0.5776088846474355,D
0.9360783107997948,0.9721020141685001,D
0.45946737930733084,0.4525311606889999,E
0.15563111144212516,0.13110114471847056,E
0.6761229268864837,0.8720834537836387,E
0.4688628650196849,0.45268539656622,F
0.28958727429637865,0.10234271093113312,F
0.5592487091542236,0.7617081083309902,F
0.944733508907472,0.8596022388514445,G
0.06291075746096142,0.8366379429747971,G
0.5137333712996003,0.09899385562801155,G
0.2157310852413462,0.07240837141697398,H
0.9641877495451991,0.3147810666767913,H
0.22688707624349969,0.7892935918865087,H
