x,y,category
0.7850431721026381,0.045597648633238785,A
0.13041819574965852,0.7519835152417892,A
0.17932295032080559,0.6635260411709385,A
0.5931401043558098,0.4551794239245682,B
0.6667007176996201,0.6455052875079682,B
0.9602020983474231,0.8822791658608105,B
0.28312763017249554,0.13131899205906528,C
0.12402416101576996,0.31270389039381974,C
0.4260179988237567,0.0683811181109738,C
0.3328835303465747,0.3345714131123877,D
0.49053865571917743,0.09532641823137644,D
0.5318482684461854,0.7122517148127983,D
0.5007679062778223,0.2626553090119501,E
0.41528897955374755,0.22379116521595077,E
0.24015519401312135,0.3984477344034041,E
0.2795588132272483,0.9167288268616969,F
0.2135674451181021,0.46202380562048995,F
0.40945492690336993,0.6618707686833166,F
0.8170731269658122,0.7159527158370685,G
0.36651814275918426,0.7165926556232559,G
0.6890973318651669,0.2865941422680641,G
0.3404669506225627,0.604092879927115,H
0.02563557133397587,0.27720715107339666,H
0.8350053773372824,0.27749445362808556,H
0.17954016236621417,0.7303232620264407,I
0.03640122766264431,0.6896338190193353,I
0.8024753805105036,0.909257067095647,I
0.875499516103256,0.9428131608795866,J
0.9619113665066436,0.13210450542035868,J
0.16996071936247037,0.51251329330444,J
