x,y,category
0.863746690846987,0.19033739256702809,A
0.478780933861057,0.8012529931655459,A
0.4374228503415777,0.7433534384881343,A
0.8097453586103648,0.059035706293897094,B
0.31664449533705197,0.9003931639985645,B
0.3017837202927687,0.9063227807659779,B
0.16004117864211198,0.6882671793822392,C
0.03981524854313756,0.3885317622979876,C
0.18724247090572887,0.2870071858999117,C
0.1547244843639919,0.7077908778056201,D
0.7922181250273319,0.05069986797024606,D
0.7819455053992164,0.587842944776411,D
0.2359205026057165,0.2410126561349537,E
0.11616135596922628,0.8089011047134991,E
0.8015084597122685,0.2384432700943826,E
0.756304220571446,0.9328267118519755,F
0.7741245451228661,0.7061211446539593,F
0.2986023230439421,0.4228033399976684,F
0.1334534085877095,0.36767738323739685,G
0.41364312251616586,0.9850072034585894,G
0.15909683289508159,0.012502150197218564,G
